,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
213,214,Pepperdine,WCC,6-8,-3.55,102.7,106.2,68.8,-.086,-1.37,103.3,104.7,-1.37
214,215,UC Davis,BW,5-6,-3.59,101.1,104.7,69.0,-.105,-3.77,103.0,106.8,-3.77
215,216,San Diego,WCC,9-4,-3.60,100.2,103.8,72.1,+.154,-3.62,101.8,105.4,-3.62
216,217,Gardner Webb,BSth,5-9,-3.67,98.8,102.4,70.5,-.011,+4.99,108.1,103.2,+4.99
217,218,Northern Illinois,MAC,6-5,-3.70,105.6,109.3,71.4,+.103,+4.86,107.6,102.8,+4.86
218,219,Denver,Sum,8-5,-3.78,109.0,112.8,71.4,-.031,+0.09,105.0,104.9,+0.09
219,220,Stetson,ASun,7-6,-3.83,108.6,112.4,66.4,+.056,+4.72,106.2,101.5,+4.72
220,221,Mount St. Mary's,MAAC,5-7,-3.85,100.6,104.4,70.4,-.169,-6.94,99.2,106.1,-4.32
221,222,Georgia St.,SB,5-6,-3.93,103.1,107.0,67.4,-.019,+0.37,106.1,105.8,+0.37
222,223,New Hampshire,AE,8-4,-3.95,101.7,105.6,73.8,+.116,-2.93,101.7,104.6,-2.93
223,224,Notre Dame,ACC,5-7,-4.27,96.9,101.2,65.3,+.022,+0.13,104.6,104.4,-1.89
224,225,Columbia,Ivy,8-3,-4.51,103.6,108.1,68.8,+.041,-8.96,97.9,106.9,-8.96
225,226,Fairfield,MAAC,6-6,-4.51,100.9,105.4,69.9,-.012,-3.00,102.8,105.8,-2.59
226,227,North Alabama,ASun,6-7,-4.56,103.0,107.5,69.6,-.056,-1.40,103.0,104.4,-1.40
227,228,Maine,AE,8-6,-4.58,99.2,103.7,66.5,+.028,-4.94,100.6,105.5,-4.94
228,229,Monmouth,CAA,7-5,-4.62,102.4,107.0,69.5,+.129,-1.22,104.5,105.7,-1.22
229,230,Murray St.,MVC,3-9,-4.65,106.6,111.2,66.2,-.080,+0.39,103.0,102.6,+0.31
230,231,North Dakota St.,Sum,7-6,-4.72,104.5,109.2,66.9,+.097,+3.93,106.6,102.7,+3.93
231,232,Southern Utah,WAC,4-8,-4.84,105.8,110.6,71.1,-.079,+1.54,103.4,101.8,+1.38
232,233,East Tennessee St.,SC,7-5,-4.89,99.7,104.6,68.7,+.100,-0.24,104.3,104.6,-0.24
233,234,Old Dominion,SB,4-8,-4.94,102.4,107.4,69.9,+.015,+3.87,107.9,104.0,+3.87
234,235,Rhode Island,A10,5-7,-4.97,103.1,108.1,68.2,-.019,-0.70,102.9,103.6,-0.70
235,236,Southern Miss,SB,6-6,-5.06,102.6,107.7,68.8,+.098,-0.53,105.5,106.0,-0.53
236,237,Cal St. Northridge,BW,9-3,-5.09,99.9,105.0,75.0,+.027,-8.66,98.5,107.1,-8.66
237,238,DePaul,BE,2-9,-5.23,100.2,105.5,69.6,-.045,+4.92,107.3,102.4,+3.78
238,239,Quinnipiac,MAAC,9-3,-5.26,100.4,105.7,71.7,+.148,-8.88,99.1,108.0,-10.34
239,240,Merrimack,NEC,6-7,-5.27,95.4,100.6,67.6,-.039,+3.80,106.9,103.1,+3.80
240,241,Austin Peay,ASun,7-7,-5.37,98.7,104.1,64.6,+.082,+1.07,104.7,103.6,+1.07
